Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
92,Exit long,2026-07-23 15:41,M1 TP,28827.75,1,57435,219.26,0.38,1.24,219.88,0.38,-123.62,-0.22,3810.92,0.38,11
92,Entry long,2026-07-23 15:30,M1 Long,28717.5,1,57435,219.26,0.38,1.24,219.88,0.38,-123.62,-0.22,3810.92,0.38,11
93,Exit long,2026-07-23 15:55,M3 TP,28827.75,1,57633,21.26,0.04,1.24,21.88,0.04,-13.62,-0.02,3832.18,0.38,1
93,Entry long,2026-07-23 15:54,M3 Long,28816.5,1,57633,21.26,0.04,1.24,21.88,0.04,-13.62,-0.02,3832.18,0.38,1
94,Exit long,2026-07-24 15:36,M3 Break-even Exit,28560.25,1,57121.5,-2.24,0.00,1.24,122.38,0.21,-20.62,-0.04,3829.94,0.38,4
94,Entry long,2026-07-24 15:32,M3 Long,28560.75,1,57121.5,-2.24,0.00,1.24,122.38,0.21,-20.62,-0.04,3829.94,0.38,4
95,Exit long,2026-07-24 15:39,M1 SL,28509.5,1,57053.5,-35.74,-0.06,1.24,74.88,0.13,-35.12,-0.06,3794.2,0.38,3
95,Entry long,2026-07-24 15:36,M1 Long,28526.75,1,57053.5,-35.74,-0.06,1.24,74.88,0.13,-35.12,-0.06,3794.2,0.38,3
96,Exit short,2026-07-27 15:36,M4 SL,28610.75,1,57131.5,-91.24,-0.16,1.24,157.38,0.28,-90.62,-0.16,3702.96,0.37,5
96,Entry short,2026-07-27 15:31,M4 Short,28565.75,1,57131.5,-91.24,-0.16,1.24,157.38,0.28,-90.62,-0.16,3702.96,0.37,5
97,Exit short,2026-07-28 15:36,M4 SL,27925.5,1,55752.5,-99.74,-0.18,1.24,1.38,0.00,-99.12,-0.18,3603.22,0.36,2
97,Entry short,2026-07-28 15:34,M4 Short,27876.25,1,55752.5,-99.74,-0.18,1.24,1.38,0.00,-99.12,-0.18,3603.22,0.36,2
98,Exit short,2026-07-29 16:05,M4 SL,27811.75,1,55472,-152.74,-0.28,1.24,135.88,0.24,-152.12,-0.27,3450.48,0.35,13
98,Entry short,2026-07-29 15:52,M4 Short,27736,1,55472,-152.74,-0.28,1.24,135.88,0.24,-152.12,-0.27,3450.48,0.35,13
99,Exit long,2026-07-30 22:30,Prop Firm Flatten,28317.75,1,56030,604.26,1.08,1.24,789.38,1.41,-39.62,-0.07,4054.74,0.41,405
