Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
235,Entry long,2026-08-19 16:15,LONG,29421.75,1,58843.5,298.07,0.51,0.93,419.69,0.71,-73.31,-0.12,3878.54,0.39,82
236,Exit long,2026-08-19 18:02,TP MID,29635,1,58843.5,425.57,0.72,0.93,426.19,0.72,-73.31,-0.12,4304.42,0.43,107
236,Entry long,2026-08-19 16:15,LONG,29421.75,1,58843.5,425.57,0.72,0.93,426.19,0.72,-73.31,-0.12,4304.42,0.43,107
237,Exit short,2026-08-20 15:55,TRAIL EXIT,29369.75,1,58805,64.57,0.11,0.93,186.19,0.32,-115.31,-0.20,4368.68,0.44,15
237,Entry short,2026-08-20 15:40,SHORT,29402.5,1,58805,64.57,0.11,0.93,186.19,0.32,-115.31,-0.20,4368.68,0.44,15
238,Exit short,2026-08-20 16:20,TP MID,29307.5,1,58805,189.07,0.32,0.93,189.69,0.32,-115.31,-0.20,4558.06,0.46,40
238,Entry short,2026-08-20 15:40,SHORT,29402.5,1,58805,189.07,0.32,0.93,189.69,0.32,-115.31,-0.20,4558.06,0.46,40
239,Exit short,2026-08-20 17:24,TP MID,29307.5,1,58786.5,170.57,0.29,0.93,171.19,0.29,-128.31,-0.22,4728.32,0.47,37
239,Entry short,2026-08-20 16:47,SHORT,29393.25,1,58786.5,170.57,0.29,0.93,171.19,0.29,-128.31,-0.22,4728.32,0.47,37
240,Exit short,2026-08-20 17:52,TRAIL EXIT,29329.75,1,58786.5,126.07,0.21,0.93,247.69,0.42,-128.31,-0.22,4854.7,0.49,65
240,Entry short,2026-08-20 16:47,SHORT,29393.25,1,58786.5,126.07,0.21,0.93,247.69,0.42,-128.31,-0.22,4854.7,0.49,65
241,Exit long,2026-08-21 17:32,TP MID,29386.75,1,58479.5,293.07,0.50,0.93,293.69,0.50,-3.81,-0.01,5147.46,0.51,71
241,Entry long,2026-08-21 16:21,LONG,29239.75,1,58479.5,293.07,0.50,0.93,293.69,0.50,-3.81,-0.01,5147.46,0.51,71
242,Exit long,2026-08-21 18:02,TRAIL EXIT,29428,1,58479.5,375.57,0.64,0.93,497.19,0.85,-3.81,-0.01,5523.34,0.55,101
242,Entry long,2026-08-21 16:21,LONG,29239.75,1,58479.5,375.57,0.64,0.93,497.19,0.85,-3.81,-0.01,5523.34,0.55,101
243,Exit long,2026-08-25 16:08,SL,29246.5,1,58532.5,-40.43,-0.07,0.93,27.19,0.05,-39.81,-0.07,5482.6,0.55,3
243,Entry long,2026-08-25 16:05,LONG,29266.25,1,58532.5,-40.43,-0.07,0.93,27.19,0.05,-39.81,-0.07,5482.6,0.55,3
244,Exit long,2026-08-25 16:08,SL,29246.5,1,58532.5,-40.43,-0.07,0.93,27.19,0.05,-39.81,-0.07,5442.48,0.54,3
244,Entry long,2026-08-25 16:05,LONG,29266.25,1,58532.5,-40.43,-0.07,0.93,27.19,0.05,-39.81,-0.07,5442.48,0.54,3
245,Exit long,2026-08-25 16:30,SL,29208.75,1,58493,-76.43,-0.13,0.93,11.19,0.02,-75.81,-0.13,5365.74,0.54,5
245,Entry long,2026-08-25 16:25,LONG,29246.5,1,58493,-76.43,-0.13,0.93,11.19,0.02,-75.81,-0.13,5365.74,0.54,5
246,Exit long,2026-08-25 16:30,SL,29208.75,1,58493,-76.43,-0.13,0.93,11.19,0.02,-75.81,-0.13,5289.62,0.53,5
246,Entry long,2026-08-25 16:25,LONG,29246.5,1,58493,-76.43,-0.13,0.93,11.19,0.02,-75.81,-0.13,5289.62,0.53,5
247,Exit long,2026-08-26 15:30,TP MID,29201.5,1,58289.5,112.57,0.19,0.93,113.19,0.19,-7.81,-0.01,5401.88,0.54,19
247,Entry long,2026-08-26 15:11,LONG,29144.75,1,58289.5,112.57,0.19,0.93,113.19,0.19,-7.81,-0.01,5401.88,0.54,19
248,Exit long,2026-08-26 15:32,POST-TP TRAIL,29269.5,1,58289.5,248.57,0.43,0.93,272.19,0.47,-7.81,-0.01,5650.76,0.57,21
248,Entry long,2026-08-26 15:11,LONG,29144.75,1,58289.5,248.57,0.43,0.93,272.19,0.47,-7.81,-0.01,5650.76,0.57,21
249,Exit short,2026-08-26 15:36,FV929 TRAIL,29266.75,1,58521.5,-13.24,-0.02,1.24,107.38,0.18,-35.12,-0.06,5637.52,0.56,3
249,Entry short,2026-08-26 15:33,FV929_SHORT,29260.75,1,58521.5,-13.24,-0.02,1.24,107.38,0.18,-35.12,-0.06,5637.52,0.56,3
250,Exit short,2026-08-26 17:33,TP MID,29233.75,1,58505,36.57,0.06,0.93,37.19,0.06,-3.31,-0.01,5673.78,0.57,3
250,Entry short,2026-08-26 17:30,SHORT,29252.5,1,58505,36.57,0.06,0.93,37.19,0.06,-3.31,-0.01,5673.78,0.57,3
251,Exit short,2026-08-26 19:04,TRAIL EXIT,29230.5,1,58505,43.07,0.07,0.93,164.69,0.28,-79.81,-0.14,5717.16,0.57,94
251,Entry short,2026-08-26 17:30,SHORT,29252.5,1,58505,43.07,0.07,0.93,164.69,0.28,-79.81,-0.14,5717.16,0.57,94
252,Exit long,2026-08-27 15:42,TRAIL EXIT,29491.25,1,58980.5,1.07,0.00,0.93,110.19,0.19,-5.81,-0.01,5717.92,0.57,3
252,Entry long,2026-08-27 15:39,LONG,29490.25,1,58980.5,1.07,0.00,0.93,110.19,0.19,-5.81,-0.01,5717.92,0.57,3
253,Exit long,2026-08-27 15:44,TP MID,29553.5,1,58980.5,125.57,0.21,0.93,126.19,0.21,-12.81,-0.02,5843.8,0.58,5
253,Entry long,2026-08-27 15:39,LONG,29490.25,1,58980.5,125.57,0.21,0.93,126.19,0.21,-12.81,-0.02,5843.8,0.58,5
254,Exit short,2026-08-27 16:39,TP MID,29553.25,1,59144.5,37.07,0.06,0.93,37.69,0.06,-64.81,-0.11,5880.56,0.59,9
254,Entry short,2026-08-27 16:30,SHORT,29572.25,1,59144.5,37.07,0.06,0.93,37.69,0.06,-64.81,-0.11,5880.56,0.59,9
255,Exit short,2026-08-27 16:48,TRAIL EXIT,29571.25,1,59144.5,1.07,0.00,0.93,80.69,0.14,-64.81,-0.11,5881.94,0.59,18
255,Entry short,2026-08-27 16:30,SHORT,29572.25,1,59144.5,1.07,0.00,0.93,80.69,0.14,-64.81,-0.11,5881.94,0.59,18
256,Exit short,2026-08-27 16:55,TP MID,29553.25,1,59153,45.57,0.08,0.93,46.19,0.08,-11.81,-0.02,5927.2,0.59,2
256,Entry short,2026-08-27 16:53,SHORT,29576.5,1,59153,45.57,0.08,0.93,46.19,0.08,-11.81,-0.02,5927.2,0.59,2
257,Exit short,2026-08-27 17:07,SL,29622.75,1,59153,-93.43,-0.16,0.93,50.69,0.09,-92.81,-0.16,5834.08,0.58,14
257,Entry short,2026-08-27 16:53,SHORT,29576.5,1,59153,-93.43,-0.16,0.93,50.69,0.09,-92.81,-0.16,5834.08,0.58,14
258,Exit short,2026-08-28 15:25,TP MID,29632,1,59316,51.07,0.09,0.93,51.69,0.09,-20.81,-0.04,5884.84,0.59,20
258,Entry short,2026-08-28 15:05,SHORT,29658,1,59316,51.07,0.09,0.93,51.69,0.09,-20.81,-0.04,5884.84,0.59,20
259,Exit short,2026-08-28 15:30,POST-TP TRAIL,29611,1,59316,93.07,0.16,0.93,122.19,0.21,-20.81,-0.04,5978.22,0.60,25
259,Entry short,2026-08-28 15:05,SHORT,29658,1,59316,93.07,0.16,0.93,122.19,0.21,-20.81,-0.04,5978.22,0.60,25
260,Exit long,2026-08-28 15:37,FV929 TP,29636.75,1,59211.5,60.76,0.10,1.24,61.38,0.10,-40.12,-0.07,6038.98,0.60,3
260,Entry long,2026-08-28 15:34,FV929_LONG,29605.75,1,59211.5,60.76,0.10,1.24,61.38,0.10,-40.12,-0.07,6038.98,0.60,3
261,Exit long,2026-08-28 16:11,SL,29557.5,1,59213.5,-99.43,-0.17,0.93,21.19,0.04,-98.81,-0.17,5939.24,0.59,3
261,Entry long,2026-08-28 16:08,LONG,29606.75,1,59213.5,-99.43,-0.17,0.93,21.19,0.04,-98.81,-0.17,5939.24,0.59,3
262,Exit long,2026-08-28 16:11,SL,29557.5,1,59213.5,-99.43,-0.17,0.93,21.19,0.04,-98.81,-0.17,5840.12,0.58,3
262,Entry long,2026-08-28 16:08,LONG,29606.75,1,59213.5,-99.43,-0.17,0.93,21.19,0.04,-98.81,-0.17,5840.12,0.58,3
263,Exit long,2026-08-31 16:42,TP MID,29431.5,1,58758.5,103.57,0.18,0.93,104.19,0.18,-30.81,-0.05,5943.38,0.59,14
263,Entry long,2026-08-31 16:28,LONG,29379.25,1,58758.5,103.57,0.18,0.93,104.19,0.18,-30.81,-0.05,5943.38,0.59,14
264,Exit long,2026-08-31 17:39,TRAIL EXIT,29385,1,58758.5,10.57,0.02,0.93,132.19,0.22,-30.81,-0.05,5954.26,0.60,71
264,Entry long,2026-08-31 16:28,LONG,29379.25,1,58758.5,10.57,0.02,0.93,132.19,0.22,-30.81,-0.05,5954.26,0.60,71
265,Exit long,2026-09-01 15:18,SL,29084.25,1,58180,-12.43,-0.02,0.93,7.69,0.01,-11.81,-0.02,5941.52,0.59,2
265,Entry long,2026-09-01 15:16,LONG,29090,1,58180,-12.43,-0.02,0.93,7.69,0.01,-11.81,-0.02,5941.52,0.59,2
266,Exit long,2026-09-01 15:18,SL,29084.25,1,58180,-12.43,-0.02,0.93,7.69,0.01,-11.81,-0.02,5929.4,0.59,2
266,Entry long,2026-09-01 15:16,LONG,29090,1,58180,-12.43,-0.02,0.93,7.69,0.01,-11.81,-0.02,5929.4,0.59,2
267,Exit short,2026-09-01 16:22,SL,29173.5,1,58277.5,-70.43,-0.12,0.93,5.69,0.01,-69.81,-0.12,5858.66,0.59,4
267,Entry short,2026-09-01 16:18,SHORT,29138.75,1,58277.5,-70.43,-0.12,0.93,5.69,0.01,-69.81,-0.12,5858.66,0.59,4
268,Exit short,2026-09-01 16:22,SL,29173.5,1,58277.5,-70.43,-0.12,0.93,5.69,0.01,-69.81,-0.12,5788.54,0.58,4
268,Entry short,2026-09-01 16:18,SHORT,29138.75,1,58277.5,-70.43,-0.12,0.93,5.69,0.01,-69.81,-0.12,5788.54,0.58,4
269,Exit long,2026-09-02 16:05,TP MID,29091.25,1,58103,78.57,0.14,0.93,79.19,0.14,-56.31,-0.10,5866.8,0.59,9
269,Entry long,2026-09-02 15:56,LONG,29051.5,1,58103,78.57,0.14,0.93,79.19,0.14,-56.31,-0.10,5866.8,0.59,9
